,round,accuracy,alpha,repetition,alpha_norm
17,17,0.5116,1000,6,3.0
18,18,0.5063,1000,6,3.0
19,19,0.5065,1000,6,3.0
20,20,0.4991,1000,6,3.0
21,21,0.4982,1000,6,3.0
22,22,0.4973,1000,6,3.0
23,23,0.4968,1000,6,3.0
24,24,0.4968,1000,6,3.0
25,25,0.49,1000,6,3.0
26,26,0.4856,1000,6,3.0
27,27,0.4868,1000,6,3.0
28,28,0.4849,1000,6,3.0
29,29,0.4817,1000,6,3.0
30,30,0.4784,1000,6,3.0
31,31,0.4761,1000,6,3.0
32,32,0.479,1000,6,3.0
33,33,0.4798,1000,6,3.0
34,34,0.4749,1000,6,3.0
35,35,0.4744,1000,6,3.0
36,36,0.471,1000,6,3.0
37,37,0.4718,1000,6,3.0
38,38,0.4711,1000,6,3.0
39,39,0.469,1000,6,3.0
40,40,0.4697,1000,6,3.0
0,0,0.0618,1,6,0.0
1,1,0.1241,1,6,0.0
2,2,0.3135,1,6,0.0
3,3,0.4018,1,6,0.0
4,4,0.4453,1,6,0.0
5,5,0.4638,1,6,0.0
6,6,0.4822,1,6,0.0
7,7,0.4913,1,6,0.0
8,8,0.498,1,6,0.0
9,9,0.5003,1,6,0.0
10,10,0.5005,1,6,0.0
11,11,0.5053,1,6,0.0
12,12,0.5086,1,6,0.0
13,13,0.506,1,6,0.0
14,14,0.5069,1,6,0.0
15,15,0.5088,1,6,0.0
16,16,0.5046,1,6,0.0
17,17,0.5033,1,6,0.0
18,18,0.5001,1,6,0.0
19,19,0.4958,1,6,0.0
20,20,0.4971,1,6,0.0
21,21,0.4947,1,6,0.0
22,22,0.4894,1,6,0.0
23,23,0.4888,1,6,0.0
24,24,0.4865,1,6,0.0
25,25,0.4853,1,6,0.0
26,26,0.4854,1,6,0.0
27,27,0.4841,1,6,0.0
28,28,0.4825,1,6,0.0
29,29,0.4834,1,6,0.0
30,30,0.4758,1,6,0.0
31,31,0.4796,1,6,0.0
32,32,0.4785,1,6,0.0
33,33,0.4755,1,6,0.0
34,34,0.4723,1,6,0.0
35,35,0.4766,1,6,0.0
36,36,0.4751,1,6,0.0
37,37,0.4697,1,6,0.0
38,38,0.4714,1,6,0.0
39,39,0.4736,1,6,0.0
40,40,0.4674,1,6,0.0
0,0,0.0503,100,6,2.0
1,1,0.1733,100,6,2.0
2,2,0.3428,100,6,2.0
3,3,0.3933,100,6,2.0
4,4,0.4408,100,6,2.0
5,5,0.4603,100,6,2.0
6,6,0.4739,100,6,2.0
7,7,0.4903,100,6,2.0
8,8,0.4967,100,6,2.0
9,9,0.5019,100,6,2.0
10,10,0.5075,100,6,2.0
11,11,0.5119,100,6,2.0
12,12,0.5083,100,6,2.0
13,13,0.5154,100,6,2.0
14,14,0.5127,100,6,2.0
15,15,0.5114,100,6,2.0
16,16,0.5127,100,6,2.0
17,17,0.5114,100,6,2.0
18,18,0.512,100,6,2.0
19,19,0.5057,100,6,2.0
20,20,0.5066,100,6,2.0
21,21,0.501,100,6,2.0
22,22,0.4989,100,6,2.0
23,23,0.5009,100,6,2.0
24,24,0.4968,100,6,2.0
25,25,0.4963,100,6,2.0
26,26,0.492,100,6,2.0
27,27,0.4967,100,6,2.0
28,28,0.491,100,6,2.0
29,29,0.4914,100,6,2.0
30,30,0.4869,100,6,2.0
31,31,0.4849,100,6,2.0
32,32,0.4896,100,6,2.0
33,33,0.4904,100,6,2.0
34,34,0.4865,100,6,2.0
35,35,0.4826,100,6,2.0
36,36,0.48,100,6,2.0
37,37,0.4794,100,6,2.0
38,38,0.4766,100,6,2.0
39,39,0.4811,100,6,2.0
40,40,0.4828,100,6,2.0
0,0,0.0469,1000,3,3.0
1,1,0.1968,1000,3,3.0
2,2,0.3526,1000,3,3.0
3,3,0.413,1000,3,3.0
4,4,0.4459,1000,3,3.0
5,5,0.4692,1000,3,3.0
6,6,0.4873,1000,3,3.0
7,7,0.5018,1000,3,3.0
8,8,0.5054,1000,3,3.0
9,9,0.5148,1000,3,3.0
10,10,0.5192,1000,3,3.0
11,11,0.5225,1000,3,3.0
12,12,0.522,1000,3,3.0
13,13,0.5224,1000,3,3.0
14,14,0.5228,1000,3,3.0
15,15,0.5195,1000,3,3.0
16,16,0.5202,1000,3,3.0
17,17,0.5142,1000,3,3.0
18,18,0.5136,1000,3,3.0
19,19,0.5115,1000,3,3.0
20,20,0.5103,1000,3,3.0
21,21,0.505,1000,3,3.0
22,22,0.5052,1000,3,3.0
23,23,0.5003,1000,3,3.0
24,24,0.4948,1000,3,3.0
25,25,0.498,1000,3,3.0
26,26,0.4922,1000,3,3.0
27,27,0.4936,1000,3,3.0
28,28,0.4906,1000,3,3.0
29,29,0.4847,1000,3,3.0
30,30,0.4854,1000,3,3.0
31,31,0.4812,1000,3,3.0
32,32,0.4819,1000,3,3.0
33,33,0.4837,1000,3,3.0
34,34,0.4762,1000,3,3.0
35,35,0.481,1000,3,3.0
36,36,0.4777,1000,3,3.0
37,37,0.4726,1000,3,3.0
38,38,0.4759,1000,3,3.0
39,39,0.472,1000,3,3.0
40,40,0.476,1000,3,3.0
0,0,0.05,10,0,1.0
1,1,0.1492,10,0,1.0
2,2,0.3384,10,0,1.0
3,3,0.4038,10,0,1.0
4,4,0.4424,10,0,1.0
5,5,0.4698,10,0,1.0
6,6,0.4836,10,0,1.0
7,7,0.4966,10,0,1.0
8,8,0.5035,10,0,1.0
9,9,0.5028,10,0,1.0
10,10,0.5114,10,0,1.0
11,11,0.5104,10,0,1.0
12,12,0.5108,10,0,1.0
